dataset,variant,metric,runs,mean,std,mean_std
TaxiBJ P4,Small,RMSE,3,68.8362036667,0.0026948771,68.836204 +/- 0.002695
TaxiBJ P4,Small,MAE,3,36.3699750000,0.0260901631,36.369975 +/- 0.026090
TaxiBJ P4,Small,MAPE,3,75540.0293246667,7550.1185995950,75540.029 +/- 7550.119
TaxiBJ P4,Small,RMSE_c,3,1027.7751556667,0.0857241025,1027.775156 +/- 0.085724
TaxiBJ P4,Small,MAE_c,3,551.0053933333,0.5137769913,551.005393 +/- 0.513777
TaxiBJ P4,Small,MAPE_c,3,94.9354633333,49.9588733578,94.935 +/- 49.959
TaxiBJ P4,Medium,RMSE,3,68.7611626667,0.0026219223,68.761163 +/- 0.002622
TaxiBJ P4,Medium,MAE,3,36.3413583333,0.0346009007,36.341358 +/- 0.034601
TaxiBJ P4,Medium,MAPE,3,77941.4137380000,7098.2501288319,77941.414 +/- 7098.250
TaxiBJ P4,Medium,RMSE_c,3,1027.6171103333,0.1995270227,1027.617110 +/- 0.199527
TaxiBJ P4,Medium,MAE_c,3,550.8342263333,0.7285827888,550.834226 +/- 0.728583
TaxiBJ P4,Medium,MAPE_c,3,153.1153540000,109.9577590370,153.115 +/- 109.958
TaxiBJ P4,Full,RMSE,3,68.7626100000,0.0302220875,68.762610 +/- 0.030222
TaxiBJ P4,Full,MAE,3,36.2804800000,0.0328436118,36.280480 +/- 0.032844
TaxiBJ P4,Full,MAPE,3,71738.4170613333,16722.2048675943,71738.417 +/- 16722.205
TaxiBJ P4,Full,RMSE_c,3,1027.6158940000,0.1947448931,1027.615894 +/- 0.194745
TaxiBJ P4,Full,MAE_c,3,550.6735356667,0.5721021152,550.673536 +/- 0.572102
TaxiBJ P4,Full,MAPE_c,3,313.2691063333,344.9887582742,313.269 +/- 344.989
