dataset,method,pipeline_params_m,pipeline_macs_g,estimated_flops_g,inference_latency_ms_batch1,inference_peak_memory_mb_batch1,train_step_ms_batch8_no_discriminator,train_peak_memory_mb_batch8_no_discriminator,gpu
TaxiBJ P1,FUPSI,1.073,0.167,0.334,5.547,143.2,60.470,209.0,NVIDIA GeForce RTX 4090
TaxiBJ P1,UrbanFM,1.652,0.330,0.660,6.839,153.6,63.869,217.9,NVIDIA GeForce RTX 4090
TaxiBJ P1,FODE,0.689,0.217,0.433,6.024,149.8,60.259,203.3,NVIDIA GeForce RTX 4090
TaxiBJ P2,FUPSI,1.014,0.106,0.213,3.180,150.8,40.162,169.3,NVIDIA GeForce RTX 4090
TaxiBJ P2,UrbanFM,1.592,0.269,0.538,4.161,153.0,52.400,178.3,NVIDIA GeForce RTX 4090
TaxiBJ P2,FODE,0.630,0.156,0.312,3.415,149.3,37.839,161.8,NVIDIA GeForce RTX 4090
TaxiBJ P3,FUPSI,1.023,0.110,0.219,3.200,150.8,40.979,73.9,NVIDIA GeForce RTX 4090
TaxiBJ P3,UrbanFM,1.601,0.272,0.545,4.310,153.1,51.656,84.4,NVIDIA GeForce RTX 4090
TaxiBJ P3,FODE,0.639,0.159,0.318,3.473,149.3,38.490,60.7,NVIDIA GeForce RTX 4090
TaxiBJ P4,FUPSI,1.015,0.110,0.220,3.139,150.8,40.839,74.8,NVIDIA GeForce RTX 4090
TaxiBJ P4,UrbanFM,1.593,0.273,0.546,4.200,153.1,51.062,85.3,NVIDIA GeForce RTX 4090
TaxiBJ P4,FODE,0.631,0.160,0.319,3.438,149.3,38.144,61.6,NVIDIA GeForce RTX 4090
BikeNYC,FUPSI,0.875,0.035,0.070,3.009,150.3,40.044,164.5,NVIDIA GeForce RTX 4090
BikeNYC,UrbanFM,1.453,0.098,0.196,4.068,152.5,50.518,171.2,NVIDIA GeForce RTX 4090
