dataset,paper_dataset,variant,metric,runs,mean,std,cv_percent,mean_std
MainSeed_TaxiBJ_P1,TaxiBJ P1,noGAN,RMSE,3,79.7830903333,0.0991474633,0.124271,79.7831 +/- 0.0991
MainSeed_TaxiBJ_P1,TaxiBJ P1,noGAN,MAE,3,42.1963226667,0.1582506218,0.375034,42.1963 +/- 0.1583
MainSeed_TaxiBJ_P1,TaxiBJ P1,noGAN,MAPE,3,90077.0067873333,40101.8218848202,44.519488,90077.0068 +/- 40101.8219
MainSeed_TaxiBJ_P1,TaxiBJ P1,noGAN,RMSE_c,3,1197.8163530000,0.2129589096,0.017779,1197.8164 +/- 0.2130
MainSeed_TaxiBJ_P1,TaxiBJ P1,noGAN,MAE_c,3,647.8959150000,1.4874808836,0.229586,647.8959 +/- 1.4875
MainSeed_TaxiBJ_P1,TaxiBJ P1,noGAN,MAPE_c,3,695.1196230000,460.3578306865,66.227138,695.1196 +/- 460.3578
MainSeed_TaxiBJ_P1,TaxiBJ P1,GAN,RMSE,3,79.9082176667,0.0551734483,0.069046,79.9082 +/- 0.0552
MainSeed_TaxiBJ_P1,TaxiBJ P1,GAN,MAE,3,42.6554026667,0.0356849495,0.083659,42.6554 +/- 0.0357
MainSeed_TaxiBJ_P1,TaxiBJ P1,GAN,MAPE,3,119893.7873276667,32311.2512667858,26.949896,119893.7873 +/- 32311.2513
MainSeed_TaxiBJ_P1,TaxiBJ P1,GAN,RMSE_c,3,1197.7743623333,0.1838750586,0.015351,1197.7744 +/- 0.1839
MainSeed_TaxiBJ_P1,TaxiBJ P1,GAN,MAE_c,3,647.7909163333,1.2883091893,0.198877,647.7909 +/- 1.2883
MainSeed_TaxiBJ_P1,TaxiBJ P1,GAN,MAPE_c,3,819.8181046667,318.8807127916,38.896520,819.8181 +/- 318.8807
MainSeed_TaxiBJ_P2,TaxiBJ P2,noGAN,RMSE,3,100.4262946667,0.0086362978,0.008600,100.4263 +/- 0.0086
MainSeed_TaxiBJ_P2,TaxiBJ P2,noGAN,MAE,3,54.5965140000,0.0114587312,0.020988,54.5965 +/- 0.0115
MainSeed_TaxiBJ_P2,TaxiBJ P2,noGAN,MAPE,3,70168.0565586667,16838.9047135484,23.997964,70168.0566 +/- 16838.9047
MainSeed_TaxiBJ_P2,TaxiBJ P2,noGAN,RMSE_c,3,1502.5504213333,0.0598552656,0.003984,1502.5504 +/- 0.0599
MainSeed_TaxiBJ_P2,TaxiBJ P2,noGAN,MAE_c,3,847.8127816667,0.5823432621,0.068688,847.8128 +/- 0.5823
MainSeed_TaxiBJ_P2,TaxiBJ P2,noGAN,MAPE_c,3,0.3073790000,0.0058019205,1.887546,0.3074 +/- 0.0058
MainSeed_TaxiBJ_P2,TaxiBJ P2,GAN,RMSE,3,100.6008686667,0.0570420711,0.056701,100.6009 +/- 0.0570
MainSeed_TaxiBJ_P2,TaxiBJ P2,GAN,MAE,3,55.0400906667,0.1324352467,0.240616,55.0401 +/- 0.1324
