"dataset","paper_dataset","variant","seed","RMSE","MAE","MAPE","RMSE_c","MAE_c","MAPE_c"
"MainSeed_BikeNYC","BikeNYC","GAN","2024","5.991734","3.058428","262060.138451","13.792542","7.341449","161009.92842"
"MainSeed_BikeNYC","BikeNYC","GAN","2025","6.092258","3.006157","235527.284527","14.394903","7.375155","106060.777373"
"MainSeed_BikeNYC","BikeNYC","GAN","2026","6.077115","3.038326","242537.633572","13.980937","7.426823","174430.18603"
"MainSeed_BikeNYC","BikeNYC","noGAN","2024","5.338225","2.644801","209911.630244","13.952203","7.426859","151325.28419"
"MainSeed_BikeNYC","BikeNYC","noGAN","2025","5.453431","2.629399","187138.784973","14.24038","7.327545","101336.717866"
"MainSeed_BikeNYC","BikeNYC","noGAN","2026","5.374352","2.647523","186346.827195","13.982342","7.50251","155989.500754"
"MainSeed_TaxiBJ_P1","TaxiBJ P1","GAN","2024","79.961781","42.678791","155271.906042","1197.983031","649.251619","1171.438553"
"MainSeed_TaxiBJ_P1","TaxiBJ P1","GAN","2025","79.911308","42.614329","91942.735201","1197.703985","646.816636","738.650388"
"MainSeed_TaxiBJ_P1","TaxiBJ P1","GAN","2026","79.851564","42.673088","112466.72074","1197.636071","647.304494","549.365373"
"MainSeed_TaxiBJ_P1","TaxiBJ P1","noGAN","2024","79.892264","42.377987","135800.355181","1198.057707","649.575282","1191.919284"
"MainSeed_TaxiBJ_P1","TaxiBJ P1","noGAN","2025","79.698653","42.088408","60875.957445","1197.736452","646.744151","610.493737"
"MainSeed_TaxiBJ_P1","TaxiBJ P1","noGAN","2026","79.758354","42.122573","73554.707736","1197.6549","647.368312","282.945848"
"MainSeed_TaxiBJ_P2","TaxiBJ P2","GAN","2024","100.663087","55.182852","102533.40646","1502.505801","847.365475","0.304839"
"MainSeed_TaxiBJ_P2","TaxiBJ P2","GAN","2025","100.551039","54.921239","83746.992952","1502.503575","847.435455","0.304071"
"MainSeed_TaxiBJ_P2","TaxiBJ P2","GAN","2026","100.58848","55.016181","106186.455567","1502.570423","848.666196","0.314973"
"MainSeed_TaxiBJ_P2","TaxiBJ P2","noGAN","2024","100.433879","54.589125","84942.464896","1502.482679","847.165391","0.302854"
"MainSeed_TaxiBJ_P2","TaxiBJ P2","noGAN","2025","100.42811","54.590703","51833.873096","1502.596162","848.293918","0.305363"
"MainSeed_TaxiBJ_P2","TaxiBJ P2","noGAN","2026","100.416895","54.609714","73727.831684","1502.572423","847.979036","0.31392"
"MainSeed_TaxiBJ_P3","TaxiBJ P3","GAN","2024","91.443017","50.880855","138170.017733","1363.020797","777.691201","22462.637003"
"MainSeed_TaxiBJ_P3","TaxiBJ P3","GAN","2025","91.433295","50.744816","112982.394067","1362.983477","777.122473","21647.367003"
"MainSeed_TaxiBJ_P3","TaxiBJ P3","GAN","2026","91.376308","50.67748","106617.266616","1363.055408","777.697826","21272.70805"
"MainSeed_TaxiBJ_P3","TaxiBJ P3","noGAN","2024","91.211766","50.248993","108298.200618","1363.016663","777.632692","22448.002314"
"MainSeed_TaxiBJ_P3","TaxiBJ P3","noGAN","2025","91.218931","50.196176","95711.54165","1362.974384","777.045518","21517.099172"
"MainSeed_TaxiBJ_P3","TaxiBJ P3","noGAN","2026","91.227101","50.244421","91994.215265","1362.98417","776.843105","20260.743453"
"MainSeed_TaxiBJ_P4","TaxiBJ P4","GAN","2024","68.993588","36.719737","89734.026015","1028.124107","552.248168","539.874292"
"MainSeed_TaxiBJ_P4","TaxiBJ P4","GAN","2025","68.963194","36.765206","88026.542589","1027.673409","550.576982","172.022938"
"MainSeed_TaxiBJ_P4","TaxiBJ P4","GAN","2026","68.887234","36.67795","94663.9066","1027.580388","551.728426","204.960179"
"MainSeed_TaxiBJ_P4","TaxiBJ P4","noGAN","2024","68.811976","36.330747","67711.547692","1027.950713","551.808472","596.496636"
"MainSeed_TaxiBJ_P4","TaxiBJ P4","noGAN","2025","68.762443","36.253681","77327.912995","1027.572096","550.054824","173.091793"
"MainSeed_TaxiBJ_P4","TaxiBJ P4","noGAN","2026","68.706868","36.276296","82638.713","1027.437344","550.527332","135.765179"
