dataset,paper_dataset,metric,fupsi_mean,fupsi_std,best_baseline,baseline_mean,baseline_std,absolute_gain_baseline_minus_fupsi,relative_gain_percent,fupsi_seed_wins,baseline_seed_wins,paired_t_p,wilcoxon_stat,wilcoxon_p,reference_type
MainSeed_TaxiBJ_P1,TaxiBJ P1,RMSE,79.7830903333,0.0991474633,UrbanFM,92.1003270000,0.5681249228,12.3172366667,13.373717,3,0,0.0007292559,0.000000,0.250000,stochastic_three_seed
MainSeed_TaxiBJ_P1,TaxiBJ P1,MAE,42.1963226667,0.1582506218,UrbanFM,44.5980876667,0.5282170672,2.4017650000,5.385354,3,0,0.0159139104,0.000000,0.250000,stochastic_three_seed
MainSeed_TaxiBJ_P2,TaxiBJ P2,RMSE,100.4262946667,0.0086362978,HA-Mean,84.5360390000,0.0000000000,-15.8902556667,-18.797019,0,3,0.0000000985,0.000000,0.250000,deterministic
MainSeed_TaxiBJ_P2,TaxiBJ P2,MAE,54.5965140000,0.0114587312,HA-Mean,50.2793140000,0.0000000000,-4.3172000000,-8.586434,0,3,0.0000023483,0.000000,0.250000,deterministic
MainSeed_TaxiBJ_P3,TaxiBJ P3,RMSE,91.2192660000,0.0076729867,HA-Mean,96.2765630000,0.0000000000,5.0572970000,5.252885,3,0,0.0000007673,0.000000,0.250000,deterministic
MainSeed_TaxiBJ_P3,TaxiBJ P3,MAE,50.2298633333,0.0292635117,UrbanFM,52.9724330000,0.3848071127,2.7425696667,5.177353,3,0,0.0063267999,0.000000,0.250000,stochastic_three_seed
MainSeed_TaxiBJ_P4,TaxiBJ P4,RMSE,68.7604290000,0.0525829351,HA-Mean,73.5333080000,0.0000000000,4.7728790000,6.490772,3,0,0.0000404558,0.000000,0.250000,deterministic
MainSeed_TaxiBJ_P4,TaxiBJ P4,MAE,36.2869080000,0.0396137981,UrbanFM,38.2269376667,0.2986157342,1.9400296667,5.075033,3,0,0.0059321802,0.000000,0.250000,stochastic_three_seed
MainSeed_BikeNYC,BikeNYC,RMSE,5.3886693333,0.0589223653,UrbanFM,5.4934190000,0.0277382843,0.1047496667,1.906821,3,0,0.0474963734,0.000000,0.250000,stochastic_three_seed
MainSeed_BikeNYC,BikeNYC,MAE,2.6405743333,0.0097733504,UrbanFM,2.6041296667,0.0245132182,-0.0364446667,-1.399495,0,3,0.0504767878,0.000000,0.250000,stochastic_three_seed
