dataset,paper_dataset,method,metric,runs,mean,std,mean_std
MainSeed_BikeNYC,BikeNYC,FUPSI,MAE,3,2.6405743333,0.0097733504,2.6406 +/- 0.0098
MainSeed_BikeNYC,BikeNYC,FUPSI,MAE_c,3,7.4189713333,0.0877487850,7.4190 +/- 0.0877
MainSeed_BikeNYC,BikeNYC,FUPSI,MAPE,3,194465.7474706667,13382.3865684040,194465.7475 +/- 13382.3866
MainSeed_BikeNYC,BikeNYC,FUPSI,MAPE_c,3,136217.1676033333,30297.2450801711,136217.1676 +/- 30297.2451
MainSeed_BikeNYC,BikeNYC,FUPSI,RMSE,3,5.3886693333,0.0589223653,5.3887 +/- 0.0589
MainSeed_BikeNYC,BikeNYC,FUPSI,RMSE_c,3,14.0583083333,0.1583971549,14.0583 +/- 0.1584
MainSeed_BikeNYC,BikeNYC,HA-Mean,MAE,3,11.4337540000,0.0000000000,11.4338 +/- 0.0000
MainSeed_BikeNYC,BikeNYC,HA-Mean,MAE_c,3,44.6361130000,0.0000000000,44.6361 +/- 0.0000
MainSeed_BikeNYC,BikeNYC,HA-Mean,MAPE,3,1259058.5134830000,0.0000000000,1259058.5135 +/- 0.0000
MainSeed_BikeNYC,BikeNYC,HA-Mean,MAPE_c,3,1533097.8105230003,0.0000000003,1533097.8105 +/- 0.0000
MainSeed_BikeNYC,BikeNYC,HA-Mean,RMSE,3,21.5937390000,0.0000000000,21.5937 +/- 0.0000
MainSeed_BikeNYC,BikeNYC,HA-Mean,RMSE_c,3,75.2451270000,0.0000000000,75.2451 +/- 0.0000
MainSeed_BikeNYC,BikeNYC,UrbanFM,MAE,3,2.6041296667,0.0245132182,2.6041 +/- 0.0245
MainSeed_BikeNYC,BikeNYC,UrbanFM,MAE_c,3,7.4189713333,0.0877487850,7.4190 +/- 0.0877
MainSeed_BikeNYC,BikeNYC,UrbanFM,MAPE,3,115156.0090460000,11684.4264638882,115156.0090 +/- 11684.4265
MainSeed_BikeNYC,BikeNYC,UrbanFM,MAPE_c,3,136217.1676033333,30297.2450801711,136217.1676 +/- 30297.2451
MainSeed_BikeNYC,BikeNYC,UrbanFM,RMSE,3,5.4934190000,0.0277382843,5.4934 +/- 0.0277
MainSeed_BikeNYC,BikeNYC,UrbanFM,RMSE_c,3,14.0583083333,0.1583971549,14.0583 +/- 0.1584
MainSeed_TaxiBJ_P1,TaxiBJ P1,FODE,MAE,3,45.7268040000,0.2584886289,45.7268 +/- 0.2585
MainSeed_TaxiBJ_P1,TaxiBJ P1,FODE,MAE_c,3,647.8959150000,1.4874808836,647.8959 +/- 1.4875
MainSeed_TaxiBJ_P1,TaxiBJ P1,FODE,MAPE,3,177603.0997046666,31110.2100511650,177603.0997 +/- 31110.2101
MainSeed_TaxiBJ_P1,TaxiBJ P1,FODE,MAPE_c,3,695.1196230000,460.3578306865,695.1196 +/- 460.3578
MainSeed_TaxiBJ_P1,TaxiBJ P1,FODE,RMSE,3,93.9337690000,0.2085928083,93.9338 +/- 0.2086
MainSeed_TaxiBJ_P1,TaxiBJ P1,FODE,RMSE_c,3,1197.8163530000,0.2129589096,1197.8164 +/- 0.2130
MainSeed_TaxiBJ_P1,TaxiBJ P1,FUPSI,MAE,3,42.1963226667,0.1582506218,42.1963 +/- 0.1583
MainSeed_TaxiBJ_P1,TaxiBJ P1,FUPSI,MAE_c,3,647.8959150000,1.4874808836,647.8959 +/- 1.4875
MainSeed_TaxiBJ_P1,TaxiBJ P1,FUPSI,MAPE,3,90077.0067873333,40101.8218848202,90077.0068 +/- 40101.8219
MainSeed_TaxiBJ_P1,TaxiBJ P1,FUPSI,MAPE_c,3,695.1196230000,460.3578306865,695.1196 +/- 460.3578
MainSeed_TaxiBJ_P1,TaxiBJ P1,FUPSI,RMSE,3,79.7830903333,0.0991474633,79.7831 +/- 0.0991
MainSeed_TaxiBJ_P1,TaxiBJ P1,FUPSI,RMSE_c,3,1197.8163530000,0.2129589096,1197.8164 +/- 0.2130
MainSeed_TaxiBJ_P1,TaxiBJ P1,HA-Mean,MAE,3,70.0879670000,0.0000000000,70.0880 +/- 0.0000
MainSeed_TaxiBJ_P1,TaxiBJ P1,HA-Mean,MAE_c,3,1094.9447670000,0.0000000000,1094.9448 +/- 0.0000
MainSeed_TaxiBJ_P1,TaxiBJ P1,HA-Mean,MAPE,3,138231.0600910000,0.0000000000,138231.0601 +/- 0.0000
MainSeed_TaxiBJ_P1,TaxiBJ P1,HA-Mean,MAPE_c,3,6781.6173260000,0.0000000000,6781.6173 +/- 0.0000
MainSeed_TaxiBJ_P1,TaxiBJ P1,HA-Mean,RMSE,3,114.0945150000,0.0000000000,114.0945 +/- 0.0000
MainSeed_TaxiBJ_P1,TaxiBJ P1,HA-Mean,RMSE_c,3,1501.0022070000,0.0000000000,1501.0022 +/- 0.0000
MainSeed_TaxiBJ_P1,TaxiBJ P1,UrbanFM,MAE,3,44.5980876667,0.5282170672,44.5981 +/- 0.5282
MainSeed_TaxiBJ_P1,TaxiBJ P1,UrbanFM,MAE_c,3,647.8959150000,1.4874808836,647.8959 +/- 1.4875
MainSeed_TaxiBJ_P1,TaxiBJ P1,UrbanFM,MAPE,3,119461.2314540000,32509.0649670350,119461.2315 +/- 32509.0650
MainSeed_TaxiBJ_P1,TaxiBJ P1,UrbanFM,MAPE_c,3,695.1196230000,460.3578306865,695.1196 +/- 460.3578
MainSeed_TaxiBJ_P1,TaxiBJ P1,UrbanFM,RMSE,3,92.1003270000,0.5681249228,92.1003 +/- 0.5681
MainSeed_TaxiBJ_P1,TaxiBJ P1,UrbanFM,RMSE_c,3,1197.8163530000,0.2129589096,1197.8164 +/- 0.2130
MainSeed_TaxiBJ_P2,TaxiBJ P2,FODE,MAE,3,59.1727886667,0.2193865764,59.1728 +/- 0.2194
MainSeed_TaxiBJ_P2,TaxiBJ P2,FODE,MAE_c,3,847.8127816667,0.5823432621,847.8128 +/- 0.5823
MainSeed_TaxiBJ_P2,TaxiBJ P2,FODE,MAPE,3,234991.9927773333,27238.2277212850,234991.9928 +/- 27238.2277
MainSeed_TaxiBJ_P2,TaxiBJ P2,FODE,MAPE_c,3,0.3073790000,0.0058019205,0.3074 +/- 0.0058
MainSeed_TaxiBJ_P2,TaxiBJ P2,FODE,RMSE,3,116.8793380000,0.5249381883,116.8793 +/- 0.5249
MainSeed_TaxiBJ_P2,TaxiBJ P2,FODE,RMSE_c,3,1502.5504213333,0.0598552656,1502.5504 +/- 0.0599
MainSeed_TaxiBJ_P2,TaxiBJ P2,FUPSI,MAE,3,54.5965140000,0.0114587312,54.5965 +/- 0.0115
MainSeed_TaxiBJ_P2,TaxiBJ P2,FUPSI,MAE_c,3,847.8127816667,0.5823432621,847.8128 +/- 0.5823
MainSeed_TaxiBJ_P2,TaxiBJ P2,FUPSI,MAPE,3,70168.0565586667,16838.9047135484,70168.0566 +/- 16838.9047
MainSeed_TaxiBJ_P2,TaxiBJ P2,FUPSI,MAPE_c,3,0.3073790000,0.0058019205,0.3074 +/- 0.0058
MainSeed_TaxiBJ_P2,TaxiBJ P2,FUPSI,RMSE,3,100.4262946667,0.0086362978,100.4263 +/- 0.0086
MainSeed_TaxiBJ_P2,TaxiBJ P2,FUPSI,RMSE_c,3,1502.5504213333,0.0598552656,1502.5504 +/- 0.0599
MainSeed_TaxiBJ_P2,TaxiBJ P2,HA-Mean,MAE,3,50.2793140000,0.0000000000,50.2793 +/- 0.0000
MainSeed_TaxiBJ_P2,TaxiBJ P2,HA-Mean,MAE_c,3,775.0021200000,0.0000000000,775.0021 +/- 0.0000
MainSeed_TaxiBJ_P2,TaxiBJ P2,HA-Mean,MAPE,3,77325.0686090000,0.0000000000,77325.0686 +/- 0.0000
MainSeed_TaxiBJ_P2,TaxiBJ P2,HA-Mean,MAPE_c,3,0.8694730000,0.0000000000,0.8695 +/- 0.0000
