"dataset","paper_dataset","method","seed","RMSE","MAE","MAPE","RMSE_c","MAE_c","MAPE_c"
"MainSeed_BikeNYC","BikeNYC","FUPSI","2024","5.338225","2.644801","209911.630244","13.952203","7.426859","151325.28419"
"MainSeed_BikeNYC","BikeNYC","FUPSI","2025","5.453431","2.629399","187138.784973","14.24038","7.327545","101336.717866"
"MainSeed_BikeNYC","BikeNYC","FUPSI","2026","5.374352","2.647523","186346.827195","13.982342","7.50251","155989.500754"
"MainSeed_BikeNYC","BikeNYC","HA-Mean","2024","21.593739","11.433754","1259058.513483","75.245127","44.636113","1533097.810523"
"MainSeed_BikeNYC","BikeNYC","HA-Mean","2025","21.593739","11.433754","1259058.513483","75.245127","44.636113","1533097.810523"
"MainSeed_BikeNYC","BikeNYC","HA-Mean","2026","21.593739","11.433754","1259058.513483","75.245127","44.636113","1533097.810523"
"MainSeed_BikeNYC","BikeNYC","UrbanFM","2024","5.488203","2.615467","120461.326978","13.952203","7.426859","151325.28419"
"MainSeed_BikeNYC","BikeNYC","UrbanFM","2025","5.523395","2.576","101760.165123","14.24038","7.327545","101336.717866"
"MainSeed_BikeNYC","BikeNYC","UrbanFM","2026","5.468659","2.620922","123246.535037","13.982342","7.50251","155989.500754"
"MainSeed_TaxiBJ_P1","TaxiBJ P1","FODE","2024","93.898403","45.990107","180806.139251","1198.057707","649.575282","1191.919284"
"MainSeed_TaxiBJ_P1","TaxiBJ P1","FODE","2025","94.157784","45.71689","145015.283401","1197.736452","646.744151","610.493737"
"MainSeed_TaxiBJ_P1","TaxiBJ P1","FODE","2026","93.74512","45.473415","206987.876462","1197.6549","647.368312","282.945848"
"MainSeed_TaxiBJ_P1","TaxiBJ P1","FUPSI","2024","79.892264","42.377987","135800.355181","1198.057707","649.575282","1191.919284"
"MainSeed_TaxiBJ_P1","TaxiBJ P1","FUPSI","2025","79.698653","42.088408","60875.957445","1197.736452","646.744151","610.493737"
"MainSeed_TaxiBJ_P1","TaxiBJ P1","FUPSI","2026","79.758354","42.122573","73554.707736","1197.6549","647.368312","282.945848"
