dataset,paper_dataset,method,metric,runs,mean,std,cv_percent,mean_std
MainSeed_TaxiBJ_P1,TaxiBJ P1,FUPSI-residual,RMSE,3,79.7830903333,0.0991474633,0.124271,79.7831 +/- 0.0991
MainSeed_TaxiBJ_P1,TaxiBJ P1,FUPSI-residual,MAE,3,42.1963226667,0.1582506218,0.375034,42.1963 +/- 0.1583
MainSeed_TaxiBJ_P1,TaxiBJ P1,FUPSI-residual,MAPE,3,90077.0067873333,40101.8218848202,44.519488,90077.0068 +/- 40101.8219
MainSeed_TaxiBJ_P1,TaxiBJ P1,FUPSI-residual,RMSE_c,3,1197.8163530000,0.2129589096,0.017779,1197.8164 +/- 0.2130
MainSeed_TaxiBJ_P1,TaxiBJ P1,FUPSI-residual,MAE_c,3,647.8959150000,1.4874808836,0.229586,647.8959 +/- 1.4875
MainSeed_TaxiBJ_P1,TaxiBJ P1,FUPSI-residual,MAPE_c,3,695.1196230000,460.3578306865,66.227138,695.1196 +/- 460.3578
MainSeed_TaxiBJ_P2,TaxiBJ P2,FUPSI-residual,RMSE,3,100.4262946667,0.0086362978,0.008600,100.4263 +/- 0.0086
MainSeed_TaxiBJ_P2,TaxiBJ P2,FUPSI-residual,MAE,3,54.5965140000,0.0114587312,0.020988,54.5965 +/- 0.0115
MainSeed_TaxiBJ_P2,TaxiBJ P2,FUPSI-residual,MAPE,3,70168.0565586667,16838.9047135484,23.997964,70168.0566 +/- 16838.9047
MainSeed_TaxiBJ_P2,TaxiBJ P2,FUPSI-residual,RMSE_c,3,1502.5504213333,0.0598552656,0.003984,1502.5504 +/- 0.0599
MainSeed_TaxiBJ_P2,TaxiBJ P2,FUPSI-residual,MAE_c,3,847.8127816667,0.5823432621,0.068688,847.8128 +/- 0.5823
MainSeed_TaxiBJ_P2,TaxiBJ P2,FUPSI-residual,MAPE_c,3,0.3073790000,0.0058019205,1.887546,0.3074 +/- 0.0058
MainSeed_TaxiBJ_P3,TaxiBJ P3,FUPSI-residual,RMSE,3,91.2192660000,0.0076729867,0.008412,91.2193 +/- 0.0077
MainSeed_TaxiBJ_P3,TaxiBJ P3,FUPSI-residual,MAE,3,50.2298633333,0.0292635117,0.058259,50.2299 +/- 0.0293
MainSeed_TaxiBJ_P3,TaxiBJ P3,FUPSI-residual,MAPE,3,98667.9858443334,8544.6127064581,8.659965,98667.9858 +/- 8544.6127
MainSeed_TaxiBJ_P3,TaxiBJ P3,FUPSI-residual,RMSE_c,3,1362.9917390000,0.0221324599,0.001624,1362.9917 +/- 0.0221
MainSeed_TaxiBJ_P3,TaxiBJ P3,FUPSI-residual,MAE_c,3,777.1737716667,0.4101202993,0.052771,777.1738 +/- 0.4101
MainSeed_TaxiBJ_P3,TaxiBJ P3,FUPSI-residual,MAPE_c,3,21408.6149796667,1097.6574812962,5.127177,21408.6150 +/- 1097.6575
MainSeed_TaxiBJ_P4,TaxiBJ P4,FUPSI-residual,RMSE,3,68.7604290000,0.0525829351,0.076473,68.7604 +/- 0.0526
MainSeed_TaxiBJ_P4,TaxiBJ P4,FUPSI-residual,MAE,3,36.2869080000,0.0396137981,0.109168,36.2869 +/- 0.0396
MainSeed_TaxiBJ_P4,TaxiBJ P4,FUPSI-residual,MAPE,3,75892.7245623333,7566.3657333647,9.969817,75892.7246 +/- 7566.3657
MainSeed_TaxiBJ_P4,TaxiBJ P4,FUPSI-residual,RMSE_c,3,1027.6533843333,0.2661630654,0.025900,1027.6534 +/- 0.2662
MainSeed_TaxiBJ_P4,TaxiBJ P4,FUPSI-residual,MAE_c,3,550.7968760000,0.9073647574,0.164737,550.7969 +/- 0.9074
MainSeed_TaxiBJ_P4,TaxiBJ P4,FUPSI-residual,MAPE_c,3,301.7845360000,255.9096235842,84.798786,301.7845 +/- 255.9096
MainSeed_BikeNYC,BikeNYC,FUPSI-residual,RMSE,3,5.3886693333,0.0589223653,1.093449,5.3887 +/- 0.0589
MainSeed_BikeNYC,BikeNYC,FUPSI-residual,MAE,3,2.6405743333,0.0097733504,0.370122,2.6406 +/- 0.0098
MainSeed_BikeNYC,BikeNYC,FUPSI-residual,MAPE,3,194465.7474706667,13382.3865684040,6.881616,194465.7475 +/- 13382.3866
MainSeed_BikeNYC,BikeNYC,FUPSI-residual,RMSE_c,3,14.0583083333,0.1583971549,1.126716,14.0583 +/- 0.1584
MainSeed_BikeNYC,BikeNYC,FUPSI-residual,MAE_c,3,7.4189713333,0.0877487850,1.182762,7.4190 +/- 0.0877
MainSeed_BikeNYC,BikeNYC,FUPSI-residual,MAPE_c,3,136217.1676033333,30297.2450801711,22.241870,136217.1676 +/- 30297.2451
