dataset,method,pipeline_params_m,pipeline_macs_g,estimated_flops_g,inference_latency_ms_batch1,inference_peak_memory_mb_batch1,train_step_ms_batch8_no_discriminator,train_peak_memory_mb_batch8_no_discriminator,gpu
TaxiBJ P1,FUPSI,1.073,0.167,0.334,6.167,143.2,62.646,209.0,NVIDIA GeForce RTX 4090
TaxiBJ P1,UrbanFM,1.652,0.330,0.660,7.642,153.6,65.464,217.9,NVIDIA GeForce RTX 4090
TaxiBJ P1,FODE,0.689,0.217,0.433,6.719,149.8,62.006,203.3,NVIDIA GeForce RTX 4090
TaxiBJ P2,FUPSI,1.014,0.106,0.213,3.533,150.8,40.812,169.3,NVIDIA GeForce RTX 4090
TaxiBJ P2,UrbanFM,1.592,0.269,0.538,4.745,153.0,50.403,178.3,NVIDIA GeForce RTX 4090
TaxiBJ P2,FODE,0.630,0.156,0.312,3.837,149.3,39.362,161.8,NVIDIA GeForce RTX 4090
TaxiBJ P3,FUPSI,1.023,0.110,0.219,3.545,150.8,41.568,73.9,NVIDIA GeForce RTX 4090
TaxiBJ P3,UrbanFM,1.601,0.272,0.545,4.972,153.1,50.313,84.4,NVIDIA GeForce RTX 4090
TaxiBJ P3,FODE,0.639,0.159,0.318,4.038,149.3,36.824,60.7,NVIDIA GeForce RTX 4090
TaxiBJ P4,FUPSI,1.015,0.110,0.220,3.688,150.8,41.142,74.8,NVIDIA GeForce RTX 4090
TaxiBJ P4,UrbanFM,1.593,0.273,0.546,4.899,153.1,43.156,85.3,NVIDIA GeForce RTX 4090
TaxiBJ P4,FODE,0.631,0.160,0.319,3.961,149.3,36.580,61.6,NVIDIA GeForce RTX 4090
BikeNYC,FUPSI,0.875,0.035,0.070,3.555,150.3,40.544,164.5,NVIDIA GeForce RTX 4090
BikeNYC,UrbanFM,1.453,0.098,0.196,4.825,152.5,40.041,171.2,NVIDIA GeForce RTX 4090
BikeNYC,FODE,0.487,0.041,0.082,3.868,148.7,33.479,159.0,NVIDIA GeForce RTX 4090
