dataset,method,coarse_grid,fine_grid,scale,sr_params,sr_params_m,sr_macs,sr_macs_g,sr_latency_ms_batch1,sr_peak_memory_mb_batch1,pipeline_params,pipeline_params_m,pipeline_macs,pipeline_macs_g,pipeline_latency_ms_batch1,pipeline_peak_memory_mb_batch1,train_step_ms_batch8_no_discriminator,train_peak_memory_mb_batch8_no_discriminator,gpu,inference_warmup,inference_repeats,train_warmup,train_repeats
TaxiBJ P1,FUPSI,8x8,32x32,4,951454,0.951454,98574336,0.098574,1.855804,15.727051,1073314,1.073314,166961152,0.166961,6.167205,143.195801,62.645687,209.004395,NVIDIA GeForce RTX 4090,20,100,3,10
TaxiBJ P1,UrbanFM,8x8,32x32,4,1529729,1.529729,261365760,0.261366,3.293490,26.995117,1651589,1.651589,329752576,0.329753,7.642249,153.557129,65.463961,217.921875,NVIDIA GeForce RTX 4090,20,100,3,10
TaxiBJ P1,FODE,8x8,32x32,4,567337,0.567337,148121600,0.148122,2.174808,23.380859,689197,0.689197,216508416,0.216508,6.719107,149.817871,62.006073,203.301758,NVIDIA GeForce RTX 4090,20,100,3,10
TaxiBJ P2,FUPSI,8x8,32x32,4,951454,0.951454,98574336,0.098574,1.945700,23.628906,1014178,1.014178,106295296,0.106295,3.533439,150.815918,40.811628,169.346191,NVIDIA GeForce RTX 4090,20,100,3,10
TaxiBJ P2,UrbanFM,8x8,32x32,4,1529729,1.529729,261365760,0.261366,3.185686,26.767578,1592453,1.592453,269086720,0.269087,4.745244,153.047852,50.402988,178.263672,NVIDIA GeForce RTX 4090,20,100,3,10
TaxiBJ P2,FODE,8x8,32x32,4,567337,0.567337,148121600,0.148122,2.194537,23.153320,630061,0.630061,155842560,0.155843,3.837266,149.308594,39.361930,161.844727,NVIDIA GeForce RTX 4090,20,100,3,10
TaxiBJ P3,FUPSI,8x8,32x32,4,951454,0.951454,98574336,0.098574,1.955132,23.661621,1022626,1.022626,109563904,0.109564,3.545048,150.848633,41.568396,73.895508,NVIDIA GeForce RTX 4090,20,100,3,10
TaxiBJ P3,UrbanFM,8x8,32x32,4,1529729,1.529729,261365760,0.261366,3.919111,26.800293,1600901,1.600901,272355328,0.272355,4.972005,153.080566,50.313148,84.359375,NVIDIA GeForce RTX 4090,20,100,3,10
TaxiBJ P3,FODE,8x8,32x32,4,567337,0.567337,148121600,0.148122,2.346155,23.186035,638509,0.638509,159111168,0.159111,4.037650,149.341309,36.823753,60.688477,NVIDIA GeForce RTX 4090,20,100,3,10
TaxiBJ P4,FUPSI,8x8,32x32,4,951454,0.951454,98574336,0.098574,1.964351,23.631836,1014690,1.014690,110161920,0.110162,3.688297,150.819336,41.141810,74.840332,NVIDIA GeForce RTX 4090,20,100,3,10
TaxiBJ P4,UrbanFM,8x8,32x32,4,1529729,1.529729,261365760,0.261366,3.361874,26.770508,1592965,1.592965,272953344,0.272953,4.899234,153.051270,43.155794,85.304199,NVIDIA GeForce RTX 4090,20,100,3,10
TaxiBJ P4,FODE,8x8,32x32,4,567337,0.567337,148121600,0.148122,2.346848,23.156250,630573,0.630573,159709184,0.159709,3.961040,149.312012,36.579767,61.633301,NVIDIA GeForce RTX 4090,20,100,3,10
BikeNYC,FUPSI,8x4,16x8,2,803229,0.803229,26431488,0.026431,1.829360,22.729004,874977,0.874977,35250176,0.035250,3.554606,150.252441,40.544232,164.520508,NVIDIA GeForce RTX 4090,20,100,3,10
BikeNYC,UrbanFM,8x4,16x8,2,1381505,1.381505,88952832,0.088953,3.315285,25.014648,1453253,1.453253,97771520,0.097772,4.824907,152.482910,40.040898,171.210938,NVIDIA GeForce RTX 4090,20,100,3,10
BikeNYC,FODE,8x4,16x8,2,415017,0.415017,32331776,0.032332,2.213595,21.667969,486765,0.486765,41150464,0.041150,3.868063,148.728027,33.479107,158.971680,NVIDIA GeForce RTX 4090,20,100,3,10
