dataset,dataset_key,method,seed,RMSE,MAE,MAPE,coarse_RMSE,coarse_MAE,coarse_MAPE,protocol,metrics_recomputed_from_saved_arrays,test_samples,source,source_sha256,test_coarse_sha256,true_coarse_sha256,test_fine_sha256,true_fine_sha256
TaxiBJ P1,TaxiBJ_P1,FUPSI,2024,79.761725,42.192544,62916.757870,1198.049931,649.643567,716.682465,MainSeed-RawCount-v2,true,738,saved_model/to_stage/no_ext(r)/ResidualMainE300P5_TaxiBJ_P1/seed2024/0.01_0.1/-4-6/8-64-300_350_4_4/Generator/test_metrics.csv,06847e95f3d6c8fbd61785ea74997a0246607d267d025c6a7264740c2a315ca5,4785fc457233a1970ab505d9e002f3eb9c5c30b4ea86d66a3873a362ea3218d1,4c835e73b1b98deb5b9fc1495a6459acc00905c13a10eebc0fa251c049916575,db97261111455265a1667d7bf7aa81b8bab18153ead63f7c509abae4914ce998,2b25c37dfd6f25946944cc4d778b5eba42b81ca3fa661fb347667639c59e3bb2
TaxiBJ P1,TaxiBJ_P1,FUPSI,2025,79.724312,42.065813,71420.050795,1197.688756,646.424094,317.900680,MainSeed-RawCount-v2,true,738,saved_model/to_stage/no_ext(r)/ResidualMainE300P5_TaxiBJ_P1/seed2025/0.01_0.1/-4-6/8-64-300_350_4_4/Generator/test_metrics.csv,1d5f1ebb514d66ed2dd00b3436698d77f3bef3f9afa054c593b2099e386ffac5,4220ed7090dca5e90f1d96ae41e06d14da5834b0a75dce51029cd87593f2cb36,4c835e73b1b98deb5b9fc1495a6459acc00905c13a10eebc0fa251c049916575,60e4d39e54079befd1d9c0a260ce2064460420e8cef8710dca87c826301117d8,2b25c37dfd6f25946944cc4d778b5eba42b81ca3fa661fb347667639c59e3bb2
TaxiBJ P1,TaxiBJ_P1,FUPSI,2026,79.745144,42.141679,77766.220644,1197.717364,647.729923,547.816649,MainSeed-RawCount-v2,true,738,saved_model/to_stage/no_ext(r)/ResidualMainE300P5_TaxiBJ_P1/seed2026/0.01_0.1/-4-6/8-64-300_350_4_4/Generator/test_metrics.csv,0e292b9b71f03438a2f392ff3a23d11871ad1c1021b30ee7c1e2b3dd51b5571b,cb95570c316783fd436828a0daa248abee28ce2bcaec6b2eafa0d379a4c357ee,4c835e73b1b98deb5b9fc1495a6459acc00905c13a10eebc0fa251c049916575,f8e4548fae6b451b1c513573a5770bb50eb60ee992b94c9d7dd5f4daa564a9c9,2b25c37dfd6f25946944cc4d778b5eba42b81ca3fa661fb347667639c59e3bb2
TaxiBJ P2,TaxiBJ_P2,FUPSI,2024,100.398421,54.549745,66162.150347,1502.568180,848.122651,0.304058,MainSeed-RawCount-v2,true,908,saved_model/to_stage/no_ext(r)/ResidualMainE300P5_TaxiBJ_P2/seed2024/0.9_0.1/-4-6/8-64-300_310_2_1/Generator/test_metrics.csv,ecc90295f6b8ce725cc6787316f5a6e87a5898cae0562a28a1ee08c3ec64a4e9,ab48ad09ccab5dfdc67f2ad68cad649ab694764d8f6a7b13ea9732caebf33c96,cf0ce195e2c4d7b0d16bcba2769359fb2b9bcfc7867e398175a29e88a4f03812,1bec02ded9ca8b53fb5561beb66afc8ddda4ee50f31bd5174a289ecbdac759eb,ed81758a9e7e195124764ec26ba9bcc2f880c14a4f31dfd8a9b2ade23cb878ae
TaxiBJ P2,TaxiBJ_P2,FUPSI,2025,100.429840,54.566714,79511.909263,1502.489802,847.268018,0.305495,MainSeed-RawCount-v2,true,908,saved_model/to_stage/no_ext(r)/ResidualMainE300P5_TaxiBJ_P2/seed2025/0.9_0.1/-4-6/8-64-300_310_2_1/Generator/test_metrics.csv,898ad22913ab351a97f49a6d01f073785fa59bc08fc69dc85a2fd1cabb49edfb,c1e40a6118008063510d4a00bce0bb43f23182318dce080ae76af3ff07368117,cf0ce195e2c4d7b0d16bcba2769359fb2b9bcfc7867e398175a29e88a4f03812,66c5c95e2ce0d419b26c7d961bdeba3148980a725cfb0083ea2c182cfa29ca8e,ed81758a9e7e195124764ec26ba9bcc2f880c14a4f31dfd8a9b2ade23cb878ae
TaxiBJ P2,TaxiBJ_P2,FUPSI,2026,100.421701,54.578193,73002.729722,1502.626817,848.154525,0.318592,MainSeed-RawCount-v2,true,908,saved_model/to_stage/no_ext(r)/ResidualMainE300P5_TaxiBJ_P2/seed2026/0.9_0.1/-4-6/8-64-300_310_2_1/Generator/test_metrics.csv,574f37cf7507d4190bbc4bbeb3d760c8702a734c350adce3ff79ffeae338e9ed,574655222f9b0fd1a8e4b97e94204528aa9c844ea17dcfaf38e93bce786e4d1b,cf0ce195e2c4d7b0d16bcba2769359fb2b9bcfc7867e398175a29e88a4f03812,d14ac288af4f66586183c4780d4fcec2ea1fa571905364c0ae631341a813a987,ed81758a9e7e195124764ec26ba9bcc2f880c14a4f31dfd8a9b2ade23cb878ae
TaxiBJ P3,TaxiBJ_P3,FUPSI,2024,91.195121,50.257253,117842.416951,1363.025297,777.634990,22380.647545,MainSeed-RawCount-v2,true,1024,saved_model/to_stage/no_ext(r)/ResidualMainE300P5_TaxiBJ_P3/seed2024/0.01_0.1/-4-6/8-64-300_320_4_1/Generator/test_metrics.csv,3115bf19896a1bde7b0e1a78a961f36337e57977f8db89fafc4e58641d5d57cb,ce1bbe37896b7302f71c852464ee8d3deb237eb8d21f7b49d59cfa2227c01711,4a8fcc7f027e31abff9dcc0eb495cbe5e7da81edc324447f4a042b787253277e,4b0fe7be4cdf787e6358cc2d06d43acce1ba833df220b633b405c2bbeb9cfd63,5814a8cb19124e902dd337b542ea5a518f022f357ee209e9611d80489e78c1c2
TaxiBJ P3,TaxiBJ_P3,FUPSI,2025,91.204993,50.189821,88659.976309,1362.872983,776.316297,22053.733638,MainSeed-RawCount-v2,true,1024,saved_model/to_stage/no_ext(r)/ResidualMainE300P5_TaxiBJ_P3/seed2025/0.01_0.1/-4-6/8-64-300_320_4_1/Generator/test_metrics.csv,5a21600bbf5090063ec83eb06d2a011710cfee89324ede0b1fa773820d82684f,1d809bd2d4d99ec4a84d9e4515cd3180126043d3dce51d3c7d8ebda6d4a9d43b,4a8fcc7f027e31abff9dcc0eb495cbe5e7da81edc324447f4a042b787253277e,c771a0d7e331d2deb2387469d2ff8f0fc9314494a0e848a9410183182a1355b2,5814a8cb19124e902dd337b542ea5a518f022f357ee209e9611d80489e78c1c2
TaxiBJ P3,TaxiBJ_P3,FUPSI,2026,91.236539,50.240706,88301.336898,1363.003064,776.388291,20864.369601,MainSeed-RawCount-v2,true,1024,saved_model/to_stage/no_ext(r)/ResidualMainE300P5_TaxiBJ_P3/seed2026/0.01_0.1/-4-6/8-64-300_320_4_1/Generator/test_metrics.csv,0cec6897310734773d81f9f4fab0b5696a7cfd5712dda8da9b1bd3016dfa5524,d8423bcd46efa3f1ba3f63623ea561b0cb040e0c49880bc427ad4d146f2490af,4a8fcc7f027e31abff9dcc0eb495cbe5e7da81edc324447f4a042b787253277e,bfc759750ea86272365ae0e19aa3959356423df5e0334f230be31d93bcff1e12,5814a8cb19124e902dd337b542ea5a518f022f357ee209e9611d80489e78c1c2
TaxiBJ P4,TaxiBJ_P4,FUPSI,2024,68.822098,36.323893,71634.837950,1028.048202,551.930737,379.478656,MainSeed-RawCount-v2,true,1300,saved_model/to_stage/no_ext(r)/ResidualMainE300P5_TaxiBJ_P4/seed2024/0.01_0.1/-4-6/8-64-300_330_2_1/Generator/test_metrics.csv,7bca0dcffddc7aa4377cc89e913e81d87692832ac239fe7fcebbc499383bd049,cf0f507dddb6fa9361e439510124688dfacd3a4202243827c4a61eefae34eacc,f09feefd91e728223cd68b48e15d2b353fcff1c03fccd58b3b0a79b9a9d65a77,8c93768ad89b771914d146d315bf49acb216e760a3603a1c6cc75dcd05330533,7571b9d5feaf263db0a1eff2fab8bd997f61f8f402d3c0eb39e315c71ad0cae0
