dataset,variant,metric,runs,mean,std
TaxiBJ P1,noGAN,RMSE,3,79.743727,0.018747
TaxiBJ P1,GAN,RMSE,3,79.908218,0.055173
TaxiBJ P1,noGAN,MAE,3,42.133345,0.063775
TaxiBJ P1,GAN,MAE,3,42.655403,0.035685
TaxiBJ P2,noGAN,RMSE,3,100.416654,0.016306
TaxiBJ P2,GAN,RMSE,3,100.600869,0.057042
TaxiBJ P2,noGAN,MAE,3,54.564884,0.014312
TaxiBJ P2,GAN,MAE,3,55.040091,0.132435
TaxiBJ P3,noGAN,RMSE,3,91.212218,0.021634
TaxiBJ P3,GAN,RMSE,3,91.417540,0.036037
TaxiBJ P3,noGAN,MAE,3,50.229260,0.035143
TaxiBJ P3,GAN,MAE,3,50.767717,0.103604
TaxiBJ P4,noGAN,RMSE,3,68.764298,0.058967
TaxiBJ P4,GAN,RMSE,3,68.948005,0.054780
TaxiBJ P4,noGAN,MAE,3,36.284239,0.055073
TaxiBJ P4,GAN,MAE,3,36.720964,0.043641
BikeNYC,noGAN,RMSE,3,5.389023,0.022261
BikeNYC,GAN,RMSE,3,6.053702,0.054198
BikeNYC,noGAN,MAE,3,2.618890,0.039855
BikeNYC,GAN,MAE,3,3.034304,0.026367
