dataset,variant,seed,RMSE,MAE,source
TaxiBJ P1,noGAN,2024,79.761725,42.192544,saved_model/to_stage/no_ext(r)/ResidualMainE300P5_TaxiBJ_P1/seed2024/0.01_0.1/-4-6/8-64-300_350_4_4/Generator/test_metrics.csv
TaxiBJ P1,noGAN,2025,79.724312,42.065813,saved_model/to_stage/no_ext(r)/ResidualMainE300P5_TaxiBJ_P1/seed2025/0.01_0.1/-4-6/8-64-300_350_4_4/Generator/test_metrics.csv
TaxiBJ P1,noGAN,2026,79.745144,42.141679,saved_model/to_stage/no_ext(r)/ResidualMainE300P5_TaxiBJ_P1/seed2026/0.01_0.1/-4-6/8-64-300_350_4_4/Generator/test_metrics.csv
TaxiBJ P2,noGAN,2024,100.398421,54.549745,saved_model/to_stage/no_ext(r)/ResidualMainE300P5_TaxiBJ_P2/seed2024/0.9_0.1/-4-6/8-64-300_310_2_1/Generator/test_metrics.csv
TaxiBJ P2,noGAN,2025,100.429840,54.566714,saved_model/to_stage/no_ext(r)/ResidualMainE300P5_TaxiBJ_P2/seed2025/0.9_0.1/-4-6/8-64-300_310_2_1/Generator/test_metrics.csv
TaxiBJ P2,noGAN,2026,100.421701,54.578193,saved_model/to_stage/no_ext(r)/ResidualMainE300P5_TaxiBJ_P2/seed2026/0.9_0.1/-4-6/8-64-300_310_2_1/Generator/test_metrics.csv
TaxiBJ P3,noGAN,2024,91.195121,50.257253,saved_model/to_stage/no_ext(r)/ResidualMainE300P5_TaxiBJ_P3/seed2024/0.01_0.1/-4-6/8-64-300_320_4_1/Generator/test_metrics.csv
TaxiBJ P3,noGAN,2025,91.204993,50.189821,saved_model/to_stage/no_ext(r)/ResidualMainE300P5_TaxiBJ_P3/seed2025/0.01_0.1/-4-6/8-64-300_320_4_1/Generator/test_metrics.csv
TaxiBJ P3,noGAN,2026,91.236539,50.240706,saved_model/to_stage/no_ext(r)/ResidualMainE300P5_TaxiBJ_P3/seed2026/0.01_0.1/-4-6/8-64-300_320_4_1/Generator/test_metrics.csv
TaxiBJ P4,noGAN,2024,68.822098,36.323893,saved_model/to_stage/no_ext(r)/ResidualMainE300P5_TaxiBJ_P4/seed2024/0.01_0.1/-4-6/8-64-300_330_2_1/Generator/test_metrics.csv
TaxiBJ P4,noGAN,2025,68.766566,36.307467,saved_model/to_stage/no_ext(r)/ResidualMainE300P5_TaxiBJ_P4/seed2025/0.01_0.1/-4-6/8-64-300_330_2_1/Generator/test_metrics.csv
TaxiBJ P4,noGAN,2026,68.704229,36.221358,saved_model/to_stage/no_ext(r)/ResidualMainE300P5_TaxiBJ_P4/seed2026/0.01_0.1/-4-6/8-64-300_330_2_1/Generator/test_metrics.csv
BikeNYC,noGAN,2024,5.372069,2.664880,saved_model/to_stage/no_ext(r)/ResidualMainE300P5_BikeNYC/seed2024/0.9_0.1/-4-6/8-64-300_350_4_1/Generator/test_metrics.csv
BikeNYC,noGAN,2025,5.414233,2.597358,saved_model/to_stage/no_ext(r)/ResidualMainE300P5_BikeNYC/seed2025/0.9_0.1/-4-6/8-64-300_350_4_1/Generator/test_metrics.csv
BikeNYC,noGAN,2026,5.380768,2.594433,saved_model/to_stage/no_ext(r)/ResidualMainE300P5_BikeNYC/seed2026/0.9_0.1/-4-6/8-64-300_350_4_1/Generator/test_metrics.csv
BikeNYC,GAN,2024,5.991734,3.058428,GANStableMainE300_BikeNYC/seed2024/test_metrics.csv
BikeNYC,GAN,2025,6.092258,3.006157,GANStableMainE300_BikeNYC/seed2025/test_metrics.csv
BikeNYC,GAN,2026,6.077115,3.038326,GANStableMainE300_BikeNYC/seed2026/test_metrics.csv
TaxiBJ P1,GAN,2024,79.961781,42.678791,GANStableMainE300_TaxiBJ_P1/seed2024/test_metrics.csv
TaxiBJ P1,GAN,2025,79.911308,42.614329,GANStableMainE300_TaxiBJ_P1/seed2025/test_metrics.csv
TaxiBJ P1,GAN,2026,79.851564,42.673088,GANStableMainE300_TaxiBJ_P1/seed2026/test_metrics.csv
TaxiBJ P2,GAN,2024,100.663087,55.182852,GANStableMainE300_TaxiBJ_P2/seed2024/test_metrics.csv
TaxiBJ P2,GAN,2025,100.551039,54.921239,GANStableMainE300_TaxiBJ_P2/seed2025/test_metrics.csv
TaxiBJ P2,GAN,2026,100.588480,55.016181,GANStableMainE300_TaxiBJ_P2/seed2026/test_metrics.csv
TaxiBJ P3,GAN,2024,91.443017,50.880855,GANStableMainE300_TaxiBJ_P3/seed2024/test_metrics.csv
TaxiBJ P3,GAN,2025,91.433295,50.744816,GANStableMainE300_TaxiBJ_P3/seed2025/test_metrics.csv
TaxiBJ P3,GAN,2026,91.376308,50.677480,GANStableMainE300_TaxiBJ_P3/seed2026/test_metrics.csv
TaxiBJ P4,GAN,2024,68.993588,36.719737,GANStableMainE300_TaxiBJ_P4/seed2024/test_metrics.csv
TaxiBJ P4,GAN,2025,68.963194,36.765206,GANStableMainE300_TaxiBJ_P4/seed2025/test_metrics.csv
TaxiBJ P4,GAN,2026,68.887234,36.677950,GANStableMainE300_TaxiBJ_P4/seed2026/test_metrics.csv
