dataset,method,metric,runs,mean,std,min,max
BikeNYC,HRSTT_reimplementation,RMSE,3,5.795356,0.560706,5.333643,6.419287
BikeNYC,HRSTT_reimplementation,MAE,3,2.819970,0.145877,2.676814,2.968424
TaxiBJ P1,HRSTT_reimplementation,RMSE,3,18.741634,0.328501,18.537704,19.120587
TaxiBJ P1,HRSTT_reimplementation,MAE,3,11.201815,0.232531,10.995978,11.454046
TaxiBJ P2,HRSTT_reimplementation,RMSE,3,18.598703,0.027443,18.567031,18.615425
TaxiBJ P2,HRSTT_reimplementation,MAE,3,11.345497,0.030998,11.321719,11.380556
TaxiBJ P3,HRSTT_reimplementation,RMSE,3,17.952545,0.116883,17.825517,18.055549
TaxiBJ P3,HRSTT_reimplementation,MAE,3,10.833494,0.033768,10.799818,10.867353
TaxiBJ P4,HRSTT_reimplementation,RMSE,3,18.781849,0.313509,18.579611,19.142992
TaxiBJ P4,HRSTT_reimplementation,MAE,3,10.589203,0.175626,10.435981,10.780865
