dataset,method,metric,runs,mean,std,mean_std
BikeNYC,FODE,RMSE,3,5.468658,0.025331,5.4687 +/- 0.0253
BikeNYC,FODE,MAE,3,2.585823,0.019912,2.5858 +/- 0.0199
BikeNYC,FUPSI,RMSE,3,5.389023,0.022261,5.3890 +/- 0.0223
BikeNYC,FUPSI,MAE,3,2.618890,0.039855,2.6189 +/- 0.0399
BikeNYC,HA-Mean,RMSE,3,21.593739,0.000000,21.5937 +/- 0.0000
BikeNYC,HA-Mean,MAE,3,11.433754,0.000000,11.4338 +/- 0.0000
BikeNYC,HRSTT (reimplementation),RMSE,3,5.795356,0.560706,5.7954 +/- 0.5607
BikeNYC,HRSTT (reimplementation),MAE,3,2.819970,0.145877,2.8200 +/- 0.1459
BikeNYC,UrbanFM,RMSE,3,5.479858,0.058760,5.4799 +/- 0.0588
BikeNYC,UrbanFM,MAE,3,2.588040,0.032634,2.5880 +/- 0.0326
TaxiBJ P1,FODE,RMSE,3,93.864448,0.220152,93.8644 +/- 0.2202
TaxiBJ P1,FODE,MAE,3,45.610631,0.108532,45.6106 +/- 0.1085
TaxiBJ P1,FUPSI,RMSE,3,79.743727,0.018747,79.7437 +/- 0.0187
TaxiBJ P1,FUPSI,MAE,3,42.133345,0.063775,42.1333 +/- 0.0638
TaxiBJ P1,HA-Mean,RMSE,3,114.094515,0.000000,114.0945 +/- 0.0000
TaxiBJ P1,HA-Mean,MAE,3,70.087967,0.000000,70.0880 +/- 0.0000
TaxiBJ P1,HRSTT (reimplementation),RMSE,3,18.741634,0.328501,18.7416 +/- 0.3285
TaxiBJ P1,HRSTT (reimplementation),MAE,3,11.201815,0.232531,11.2018 +/- 0.2325
TaxiBJ P1,UrbanFM,RMSE,3,92.039866,0.602740,92.0399 +/- 0.6027
TaxiBJ P1,UrbanFM,MAE,3,44.506165,0.561335,44.5062 +/- 0.5613
TaxiBJ P2,FODE,RMSE,3,116.870582,0.653999,116.8706 +/- 0.6540
TaxiBJ P2,FODE,MAE,3,59.172502,0.256755,59.1725 +/- 0.2568
TaxiBJ P2,FUPSI,RMSE,3,100.416654,0.016306,100.4167 +/- 0.0163
TaxiBJ P2,FUPSI,MAE,3,54.564884,0.014312,54.5649 +/- 0.0143
TaxiBJ P2,HA-Mean,RMSE,3,84.536039,0.000000,84.5360 +/- 0.0000
TaxiBJ P2,HA-Mean,MAE,3,50.279314,0.000000,50.2793 +/- 0.0000
TaxiBJ P2,HRSTT (reimplementation),RMSE,3,18.598703,0.027443,18.5987 +/- 0.0274
TaxiBJ P2,HRSTT (reimplementation),MAE,3,11.345497,0.030998,11.3455 +/- 0.0310
TaxiBJ P2,UrbanFM,RMSE,3,114.801542,0.622273,114.8015 +/- 0.6223
TaxiBJ P2,UrbanFM,MAE,3,57.529071,0.180194,57.5291 +/- 0.1802
TaxiBJ P3,FODE,RMSE,3,107.765697,0.405706,107.7657 +/- 0.4057
TaxiBJ P3,FODE,MAE,3,54.662523,0.319868,54.6625 +/- 0.3199
TaxiBJ P3,FUPSI,RMSE,3,91.212218,0.021634,91.2122 +/- 0.0216
TaxiBJ P3,FUPSI,MAE,3,50.229260,0.035143,50.2293 +/- 0.0351
TaxiBJ P3,HA-Mean,RMSE,3,96.276563,0.000000,96.2766 +/- 0.0000
TaxiBJ P3,HA-Mean,MAE,3,56.021964,0.000000,56.0220 +/- 0.0000
TaxiBJ P3,HRSTT (reimplementation),RMSE,3,17.952545,0.116883,17.9525 +/- 0.1169
TaxiBJ P3,HRSTT (reimplementation),MAE,3,10.833494,0.033768,10.8335 +/- 0.0338
TaxiBJ P3,UrbanFM,RMSE,3,105.153729,0.980103,105.1537 +/- 0.9801
TaxiBJ P3,UrbanFM,MAE,3,53.011723,0.359245,53.0117 +/- 0.3592
TaxiBJ P4,FODE,RMSE,3,80.733712,0.233286,80.7337 +/- 0.2333
TaxiBJ P4,FODE,MAE,3,38.533840,0.164697,38.5338 +/- 0.1647
TaxiBJ P4,FUPSI,RMSE,3,68.764298,0.058967,68.7643 +/- 0.0590
TaxiBJ P4,FUPSI,MAE,3,36.284239,0.055073,36.2842 +/- 0.0551
TaxiBJ P4,HA-Mean,RMSE,3,73.533308,0.000000,73.5333 +/- 0.0000
TaxiBJ P4,HA-Mean,MAE,3,43.278283,0.000000,43.2783 +/- 0.0000
TaxiBJ P4,HRSTT (reimplementation),RMSE,3,18.781849,0.313509,18.7818 +/- 0.3135
TaxiBJ P4,HRSTT (reimplementation),MAE,3,10.589203,0.175626,10.5892 +/- 0.1756
TaxiBJ P4,UrbanFM,RMSE,3,80.006722,0.542590,80.0067 +/- 0.5426
TaxiBJ P4,UrbanFM,MAE,3,38.179134,0.251101,38.1791 +/- 0.2511
