dataset,method,seed,RMSE,MAE
BikeNYC,FODE,2024,5.479126,2.608282
BikeNYC,FODE,2025,5.487078,2.578859
BikeNYC,FODE,2026,5.439771,2.570328
BikeNYC,FUPSI,2024,5.372069,2.66488
BikeNYC,FUPSI,2025,5.414233,2.597358
BikeNYC,FUPSI,2026,5.380768,2.594433
BikeNYC,HA-Mean,2024,21.593739,11.433754
BikeNYC,HA-Mean,2025,21.593739,11.433754
BikeNYC,HA-Mean,2026,21.593739,11.433754
BikeNYC,HRSTT (reimplementation),2024,5.333643,2.676814
BikeNYC,HRSTT (reimplementation),2025,6.419287,2.968424
BikeNYC,HRSTT (reimplementation),2026,5.633138,2.814673
BikeNYC,UrbanFM,2024,5.539753,2.624623
BikeNYC,UrbanFM,2025,5.477519,2.577573
BikeNYC,UrbanFM,2026,5.422303,2.561924
TaxiBJ P1,FODE,2024,93.729361,45.674106
TaxiBJ P1,FODE,2025,94.118487,45.672475
TaxiBJ P1,FODE,2026,93.745496,45.485313
TaxiBJ P1,FUPSI,2024,79.761725,42.192544
TaxiBJ P1,FUPSI,2025,79.724312,42.065813
TaxiBJ P1,FUPSI,2026,79.745144,42.141679
TaxiBJ P1,HA-Mean,2024,114.094515,70.087967
TaxiBJ P1,HA-Mean,2025,114.094515,70.087967
TaxiBJ P1,HA-Mean,2026,114.094515,70.087967
TaxiBJ P1,HRSTT (reimplementation),2024,18.566612,10.995978
TaxiBJ P1,HRSTT (reimplementation),2025,19.120587,11.454046
TaxiBJ P1,HRSTT (reimplementation),2026,18.537704,11.155422
TaxiBJ P1,UrbanFM,2024,91.756258,44.364239
TaxiBJ P1,UrbanFM,2025,91.631243,44.029415
TaxiBJ P1,UrbanFM,2026,92.732098,45.124842
TaxiBJ P2,FODE,2024,116.519466,59.194312
TaxiBJ P2,FODE,2025,117.625151,59.417656
TaxiBJ P2,FODE,2026,116.46713,58.905537
TaxiBJ P2,FUPSI,2024,100.398421,54.549745
TaxiBJ P2,FUPSI,2025,100.42984,54.566714
TaxiBJ P2,FUPSI,2026,100.421701,54.578193
TaxiBJ P2,HA-Mean,2024,84.536039,50.279314
TaxiBJ P2,HA-Mean,2025,84.536039,50.279314
TaxiBJ P2,HA-Mean,2026,84.536039,50.279314
TaxiBJ P2,HRSTT (reimplementation),2024,18.613653,11.380556
TaxiBJ P2,HRSTT (reimplementation),2025,18.615425,11.321719
TaxiBJ P2,HRSTT (reimplementation),2026,18.567031,11.334215
TaxiBJ P2,UrbanFM,2024,114.359532,57.449524
TaxiBJ P2,UrbanFM,2025,114.531942,57.40234
TaxiBJ P2,UrbanFM,2026,115.513153,57.73535
TaxiBJ P3,FODE,2024,107.869685,54.871251
TaxiBJ P3,FODE,2025,108.109288,54.822052
TaxiBJ P3,FODE,2026,107.318119,54.294265
TaxiBJ P3,FUPSI,2024,91.195121,50.257253
TaxiBJ P3,FUPSI,2025,91.204993,50.189821
TaxiBJ P3,FUPSI,2026,91.236539,50.240706
TaxiBJ P3,HA-Mean,2024,96.276563,56.021964
TaxiBJ P3,HA-Mean,2025,96.276563,56.021964
TaxiBJ P3,HA-Mean,2026,96.276563,56.021964
TaxiBJ P3,HRSTT (reimplementation),2024,18.055549,10.867353
TaxiBJ P3,HRSTT (reimplementation),2025,17.976569,10.833311
TaxiBJ P3,HRSTT (reimplementation),2026,17.825517,10.799818
TaxiBJ P3,UrbanFM,2024,104.068729,52.669372
TaxiBJ P3,UrbanFM,2025,105.417512,52.980035
TaxiBJ P3,UrbanFM,2026,105.974945,53.385762
TaxiBJ P4,FODE,2024,80.691919,38.472983
TaxiBJ P4,FODE,2025,80.98507,38.720305
TaxiBJ P4,FODE,2026,80.524147,38.408231
TaxiBJ P4,FUPSI,2024,68.822098,36.323893
TaxiBJ P4,FUPSI,2025,68.766566,36.307467
TaxiBJ P4,FUPSI,2026,68.704229,36.221358
TaxiBJ P4,HA-Mean,2024,73.533308,43.278283
TaxiBJ P4,HA-Mean,2025,73.533308,43.278283
TaxiBJ P4,HA-Mean,2026,73.533308,43.278283
TaxiBJ P4,HRSTT (reimplementation),2024,18.622944,10.550762
TaxiBJ P4,HRSTT (reimplementation),2025,18.579611,10.435981
TaxiBJ P4,HRSTT (reimplementation),2026,19.142992,10.780865
TaxiBJ P4,UrbanFM,2024,80.578699,38.435869
TaxiBJ P4,UrbanFM,2025,79.499294,37.934075
TaxiBJ P4,UrbanFM,2026,79.942174,38.167457
