dataset,split,file,expected_shape,reference_shape,candidate_shape,reference_dtype,candidate_dtype,reference_sha256,candidate_sha256,shape_match,dtype_match,sha256_match
TaxiBJ_P1,train,X.npy,"(3519, 2, 8, 8)","(3519, 2, 8, 8)","(3519, 2, 8, 8)",float32,float32,8754962f18014a1423f475e8db27144128b4e29250778de92c08e99f6e9e764f,8754962f18014a1423f475e8db27144128b4e29250778de92c08e99f6e9e764f,true,true,true
TaxiBJ_P1,train,Y.npy,"(3519, 2, 32, 32)","(3519, 2, 32, 32)","(3519, 2, 32, 32)",float32,float32,b689d2c0c7f3a3a428caf3678500fe9cc7d417089855a9eee2ea6dc3c41f4e21,b689d2c0c7f3a3a428caf3678500fe9cc7d417089855a9eee2ea6dc3c41f4e21,true,true,true
TaxiBJ_P1,train,ext.npy,"(3519, 7)","(3519, 7)","(3519, 7)",float32,float32,2439c861661a6c188012839da689ecf76299b10afcddc8458f78b8807e5ee57d,2439c861661a6c188012839da689ecf76299b10afcddc8458f78b8807e5ee57d,true,true,true
TaxiBJ_P1,valid,X.npy,"(391, 2, 8, 8)","(391, 2, 8, 8)","(391, 2, 8, 8)",float32,float32,8595e3b68598c4a815fcde4104a6b72dd6d82f1d110b052a4e0f5982adae8ed2,8595e3b68598c4a815fcde4104a6b72dd6d82f1d110b052a4e0f5982adae8ed2,true,true,true
TaxiBJ_P1,valid,Y.npy,"(391, 2, 32, 32)","(391, 2, 32, 32)","(391, 2, 32, 32)",float32,float32,2ca43f0361cb020b161937a31c68c046628756bf181ea22d0b381de637cca6a3,2ca43f0361cb020b161937a31c68c046628756bf181ea22d0b381de637cca6a3,true,true,true
TaxiBJ_P1,valid,ext.npy,"(391, 7)","(391, 7)","(391, 7)",float32,float32,0c34ffcc0e41f53050125878ee7410d7c5d81e75675860be2bd07bc0aca4f662,0c34ffcc0e41f53050125878ee7410d7c5d81e75675860be2bd07bc0aca4f662,true,true,true
TaxiBJ_P1,test,X.npy,"(978, 2, 8, 8)","(978, 2, 8, 8)","(978, 2, 8, 8)",float32,float32,a70008183d5381148e21fb11325bee085fb8eababc950dc4dc6795ebbb745aca,a70008183d5381148e21fb11325bee085fb8eababc950dc4dc6795ebbb745aca,true,true,true
TaxiBJ_P1,test,Y.npy,"(978, 2, 32, 32)","(978, 2, 32, 32)","(978, 2, 32, 32)",float32,float32,8d8fafdd2569ab90ac28518db143183fa1904c4c47d42206240aeb6242950c94,8d8fafdd2569ab90ac28518db143183fa1904c4c47d42206240aeb6242950c94,true,true,true
TaxiBJ_P1,test,ext.npy,"(978, 7)","(978, 7)","(978, 7)",float32,float32,77cfdfbeffeeda069971a661a325668e281bb4cf074627ec823f3eb43a43603f,77cfdfbeffeeda069971a661a325668e281bb4cf074627ec823f3eb43a43603f,true,true,true
TaxiBJ_P2,train,X.npy,"(3442, 2, 8, 8)","(3442, 2, 8, 8)","(3442, 2, 8, 8)",float32,float32,7033296e09076ebfe7ce48417092bd4eb72ec2a45d219d2c49e3f7c898337f71,7033296e09076ebfe7ce48417092bd4eb72ec2a45d219d2c49e3f7c898337f71,true,true,true
TaxiBJ_P2,train,Y.npy,"(3442, 2, 32, 32)","(3442, 2, 32, 32)","(3442, 2, 32, 32)",float32,float32,7cc826281d11c3d6ee31073bad673a584ac24a0491645362ec5e724b6cad81f4,7cc826281d11c3d6ee31073bad673a584ac24a0491645362ec5e724b6cad81f4,true,true,true
TaxiBJ_P2,train,ext.npy,"(3442, 7)","(3442, 7)","(3442, 7)",float32,float32,4edab23e2594f14e72ba33e7eff6221f7fa7a9bb3c9c7dfb0f2db14a249f418a,4edab23e2594f14e72ba33e7eff6221f7fa7a9bb3c9c7dfb0f2db14a249f418a,true,true,true
TaxiBJ_P2,valid,X.npy,"(382, 2, 8, 8)","(382, 2, 8, 8)","(382, 2, 8, 8)",float32,float32,f487971acbefd6717ea831e93ee4321285ca3e5d97a165e06082295a647ecce5,f487971acbefd6717ea831e93ee4321285ca3e5d97a165e06082295a647ecce5,true,true,true
TaxiBJ_P2,valid,Y.npy,"(382, 2, 32, 32)","(382, 2, 32, 32)","(382, 2, 32, 32)",float32,float32,95f2d5841a3cc96db7668bb9c0b6186c8ccf6513cffb90f4befc730df4996ab5,95f2d5841a3cc96db7668bb9c0b6186c8ccf6513cffb90f4befc730df4996ab5,true,true,true
TaxiBJ_P2,valid,ext.npy,"(382, 7)","(382, 7)","(382, 7)",float32,float32,d5d206e04dd68f2e0b97666a26dc55797db11b2de763f8c7f55f9182ea41430a,d5d206e04dd68f2e0b97666a26dc55797db11b2de763f8c7f55f9182ea41430a,true,true,true
TaxiBJ_P2,test,X.npy,"(956, 2, 8, 8)","(956, 2, 8, 8)","(956, 2, 8, 8)",float32,float32,a699c3812e671b9f513db4f2e93f509a39d6573dde81d81d1148f96fe79e2c81,a699c3812e671b9f513db4f2e93f509a39d6573dde81d81d1148f96fe79e2c81,true,true,true
TaxiBJ_P2,test,Y.npy,"(956, 2, 32, 32)","(956, 2, 32, 32)","(956, 2, 32, 32)",float32,float32,a4ee8e0c5813eac996e3501a049083dd40fbe7f7da21efa605d855b0d50ecb76,a4ee8e0c5813eac996e3501a049083dd40fbe7f7da21efa605d855b0d50ecb76,true,true,true
TaxiBJ_P2,test,ext.npy,"(956, 7)","(956, 7)","(956, 7)",float32,float32,a5b297e866190e4076ac9f8228e533421cc97d885691ff86743091b1cd02a12e,a5b297e866190e4076ac9f8228e533421cc97d885691ff86743091b1cd02a12e,true,true,true
TaxiBJ_P3,train,X.npy,"(4029, 2, 8, 8)","(4029, 2, 8, 8)","(4029, 2, 8, 8)",float32,float32,34d684e759eb28877f524869db80a2493433caea4c6ba0edf3c887c33958f979,34d684e759eb28877f524869db80a2493433caea4c6ba0edf3c887c33958f979,true,true,true
TaxiBJ_P3,train,Y.npy,"(4029, 2, 32, 32)","(4029, 2, 32, 32)","(4029, 2, 32, 32)",float32,float32,a79347de571e6ad0f44ce78cde55a6e8e2232cc1340a5d504487bd1cebdec181,a79347de571e6ad0f44ce78cde55a6e8e2232cc1340a5d504487bd1cebdec181,true,true,true
TaxiBJ_P3,train,ext.npy,"(4029, 7)","(4029, 7)","(4029, 7)",float32,float32,42d1bcd68de00bb8bf7cd74820c875c5f54f49b6044f9bdd95a74b803236bed6,42d1bcd68de00bb8bf7cd74820c875c5f54f49b6044f9bdd95a74b803236bed6,true,true,true
TaxiBJ_P3,valid,X.npy,"(447, 2, 8, 8)","(447, 2, 8, 8)","(447, 2, 8, 8)",float32,float32,f966e7d7704812fe94f86e4971b376ffd439a5454d8f09aa59b1c4981642e466,f966e7d7704812fe94f86e4971b376ffd439a5454d8f09aa59b1c4981642e466,true,true,true
TaxiBJ_P3,valid,Y.npy,"(447, 2, 32, 32)","(447, 2, 32, 32)","(447, 2, 32, 32)",float32,float32,0bccb23dbbb9d132e038ea502609b50b633f8a3e62c61d4326c95d4f7032b37d,0bccb23dbbb9d132e038ea502609b50b633f8a3e62c61d4326c95d4f7032b37d,true,true,true
TaxiBJ_P3,valid,ext.npy,"(447, 7)","(447, 7)","(447, 7)",float32,float32,c45fd714c1fba73c0afb9679704f475b24995b514cc5c7825edfcedb2f35c375,c45fd714c1fba73c0afb9679704f475b24995b514cc5c7825edfcedb2f35c375,true,true,true
TaxiBJ_P3,test,X.npy,"(1120, 2, 8, 8)","(1120, 2, 8, 8)","(1120, 2, 8, 8)",float32,float32,df5d90b999bf27abf04bbc6c6372c42ba5d7b1cdc7c1045e7bc812f1e1ad6bc7,df5d90b999bf27abf04bbc6c6372c42ba5d7b1cdc7c1045e7bc812f1e1ad6bc7,true,true,true
