dataset,missing_rate,completion,completion_method,model_seed,mask_seed,fine_RMSE,fine_MAE,completion_MSE
TaxiBJ P1,0.0,adaptive,no_completion,2024,2024,79.76175,42.192547,0.0
TaxiBJ P1,0.0,no_completion,no_completion,2024,2024,79.76175,42.192547,0.0
TaxiBJ P1,0.1,adaptive,linear_interpolation,2024,2024,79.806218,42.304934,90190.132812
TaxiBJ P1,0.1,no_completion,no_completion,2024,2024,83.959138,46.410274,4422338.5
TaxiBJ P1,0.3,adaptive,linear_interpolation,2024,2024,80.017081,42.739645,143879.078125
TaxiBJ P1,0.3,no_completion,no_completion,2024,2024,97.375441,55.794244,4524998.0
TaxiBJ P1,0.5,adaptive,linear_interpolation,2024,2024,80.563108,43.7718,294757.78125
TaxiBJ P1,0.5,no_completion,no_completion,2024,2024,112.021196,64.952193,4575626.0
TaxiBJ P1,0.7,adaptive,linear_interpolation,2024,2024,82.512373,46.51793,731704.0625
TaxiBJ P1,0.7,no_completion,no_completion,2024,2024,125.128918,73.602141,4561278.5
TaxiBJ P1,0.0,adaptive,no_completion,2025,2025,79.724275,42.065824,0.0
TaxiBJ P1,0.0,no_completion,no_completion,2025,2025,79.724275,42.065824,0.0
TaxiBJ P1,0.1,adaptive,linear_interpolation,2025,2025,79.76034,42.178221,91879.5
TaxiBJ P1,0.1,no_completion,no_completion,2025,2025,84.018069,46.113951,4530559.5
TaxiBJ P1,0.3,adaptive,linear_interpolation,2025,2025,80.040775,42.712675,150406.3125
TaxiBJ P1,0.3,no_completion,no_completion,2025,2025,96.56607,54.813658,4493712.0
TaxiBJ P1,0.5,adaptive,linear_interpolation,2025,2025,80.636183,43.814178,294586.25
TaxiBJ P1,0.5,no_completion,no_completion,2025,2025,111.783532,64.584231,4541693.5
TaxiBJ P1,0.7,adaptive,linear_interpolation,2025,2025,82.981902,47.10677,712180.8125
TaxiBJ P1,0.7,no_completion,no_completion,2025,2025,125.609058,73.493926,4536653.5
TaxiBJ P1,0.0,adaptive,no_completion,2026,2026,79.745125,42.141673,0.0
TaxiBJ P1,0.0,no_completion,no_completion,2026,2026,79.745125,42.141673,0.0
TaxiBJ P1,0.1,adaptive,linear_interpolation,2026,2026,79.809603,42.286542,115204.054688
TaxiBJ P1,0.1,no_completion,no_completion,2026,2026,83.964295,46.03689,4539816.0
TaxiBJ P1,0.3,adaptive,linear_interpolation,2026,2026,80.059326,42.764742,151553.90625
TaxiBJ P1,0.3,no_completion,no_completion,2026,2026,96.069986,54.512751,4570398.5
TaxiBJ P1,0.5,adaptive,linear_interpolation,2026,2026,80.713422,43.846023,292047.4375
TaxiBJ P1,0.5,no_completion,no_completion,2026,2026,109.910647,63.534081,4594496.5
TaxiBJ P1,0.7,adaptive,linear_interpolation,2026,2026,83.002826,46.712902,693831.25
TaxiBJ P1,0.7,no_completion,no_completion,2026,2026,124.028402,72.841805,4570471.5
TaxiBJ P2,0.0,adaptive,no_completion,2024,2024,100.398451,54.549738,0.0
TaxiBJ P2,0.0,no_completion,no_completion,2024,2024,100.398451,54.549738,0.0
TaxiBJ P2,0.1,adaptive,linear_interpolation,2024,2024,100.489392,54.718011,106602.085938
