dataset,method,seed,metric,fupsi_value,baseline_value,exact_within_csv_rounding
BikeNYC,FODE,2024,RMSE_c,13.947530,13.947530,true
BikeNYC,FODE,2024,MAE_c,7.410698,7.410698,true
BikeNYC,FODE,2024,MAPE_c,140708.480650,140708.480650,true
BikeNYC,FODE,2025,RMSE_c,14.043332,14.043332,true
BikeNYC,FODE,2025,MAE_c,7.319450,7.319450,true
BikeNYC,FODE,2025,MAPE_c,100658.099796,100658.099796,true
BikeNYC,FODE,2026,RMSE_c,13.892541,13.892541,true
BikeNYC,FODE,2026,MAE_c,7.302101,7.302101,true
BikeNYC,FODE,2026,MAPE_c,120103.384838,120103.384838,true
TaxiBJ P1,FODE,2024,RMSE_c,1198.049931,1198.049931,true
TaxiBJ P1,FODE,2024,MAE_c,649.643567,649.643567,true
TaxiBJ P1,FODE,2024,MAPE_c,716.682465,716.682465,true
TaxiBJ P1,FODE,2025,RMSE_c,1197.688756,1197.688756,true
TaxiBJ P1,FODE,2025,MAE_c,646.424094,646.424094,true
TaxiBJ P1,FODE,2025,MAPE_c,317.900680,317.900680,true
TaxiBJ P1,FODE,2026,RMSE_c,1197.717364,1197.717364,true
TaxiBJ P1,FODE,2026,MAE_c,647.729923,647.729923,true
TaxiBJ P1,FODE,2026,MAPE_c,547.816649,547.816649,true
TaxiBJ P2,FODE,2024,RMSE_c,1502.568180,1502.568180,true
TaxiBJ P2,FODE,2024,MAE_c,848.122651,848.122651,true
TaxiBJ P2,FODE,2024,MAPE_c,0.304058,0.304058,true
TaxiBJ P2,FODE,2025,RMSE_c,1502.489802,1502.489802,true
TaxiBJ P2,FODE,2025,MAE_c,847.268018,847.268018,true
TaxiBJ P2,FODE,2025,MAPE_c,0.305495,0.305495,true
TaxiBJ P2,FODE,2026,RMSE_c,1502.626817,1502.626817,true
TaxiBJ P2,FODE,2026,MAE_c,848.154525,848.154525,true
TaxiBJ P2,FODE,2026,MAPE_c,0.318592,0.318592,true
TaxiBJ P3,FODE,2024,RMSE_c,1363.025297,1363.025297,true
TaxiBJ P3,FODE,2024,MAE_c,777.634990,777.634990,true
TaxiBJ P3,FODE,2024,MAPE_c,22380.647545,22380.647545,true
TaxiBJ P3,FODE,2025,RMSE_c,1362.872983,1362.872983,true
TaxiBJ P3,FODE,2025,MAE_c,776.316297,776.316297,true
TaxiBJ P3,FODE,2025,MAPE_c,22053.733638,22053.733638,true
TaxiBJ P3,FODE,2026,RMSE_c,1363.003064,1363.003064,true
TaxiBJ P3,FODE,2026,MAE_c,776.388291,776.388291,true
TaxiBJ P3,FODE,2026,MAPE_c,20864.369601,20864.369601,true
TaxiBJ P4,FODE,2024,RMSE_c,1028.048202,1028.048202,true
TaxiBJ P4,FODE,2024,MAE_c,551.930737,551.930737,true
