dataset,method,seed,artifact,fupsi_sha256,baseline_sha256,exact_match
BikeNYC,FODE,2024,test_coarse,a4d20f164e542775b7ef50905415d75a37acfc54154d41212f8151efda58313d,a4d20f164e542775b7ef50905415d75a37acfc54154d41212f8151efda58313d,true
BikeNYC,FODE,2024,true_coarse,cc0b7b76fe9555bef3ddc219005ae4aab2c6227b1d45e51362caa22af43cb0f0,cc0b7b76fe9555bef3ddc219005ae4aab2c6227b1d45e51362caa22af43cb0f0,true
BikeNYC,FODE,2024,true_fine,2524976293ef414bfee1b9a1a321b2a3c59ad289f333ea17d2edeaa7f22cce3f,2524976293ef414bfee1b9a1a321b2a3c59ad289f333ea17d2edeaa7f22cce3f,true
BikeNYC,FODE,2025,test_coarse,f1c0a872b2f13130988648faeca4b4a4476097e3c57ad7163edbd66d6e3d9611,f1c0a872b2f13130988648faeca4b4a4476097e3c57ad7163edbd66d6e3d9611,true
BikeNYC,FODE,2025,true_coarse,cc0b7b76fe9555bef3ddc219005ae4aab2c6227b1d45e51362caa22af43cb0f0,cc0b7b76fe9555bef3ddc219005ae4aab2c6227b1d45e51362caa22af43cb0f0,true
BikeNYC,FODE,2025,true_fine,2524976293ef414bfee1b9a1a321b2a3c59ad289f333ea17d2edeaa7f22cce3f,2524976293ef414bfee1b9a1a321b2a3c59ad289f333ea17d2edeaa7f22cce3f,true
BikeNYC,FODE,2026,test_coarse,98cb59fa12640eeac7e7c0065d7b02406ee8727464f8e4d9758c20c46a99e46b,98cb59fa12640eeac7e7c0065d7b02406ee8727464f8e4d9758c20c46a99e46b,true
BikeNYC,FODE,2026,true_coarse,cc0b7b76fe9555bef3ddc219005ae4aab2c6227b1d45e51362caa22af43cb0f0,cc0b7b76fe9555bef3ddc219005ae4aab2c6227b1d45e51362caa22af43cb0f0,true
BikeNYC,FODE,2026,true_fine,2524976293ef414bfee1b9a1a321b2a3c59ad289f333ea17d2edeaa7f22cce3f,2524976293ef414bfee1b9a1a321b2a3c59ad289f333ea17d2edeaa7f22cce3f,true
TaxiBJ P1,FODE,2024,test_coarse,4785fc457233a1970ab505d9e002f3eb9c5c30b4ea86d66a3873a362ea3218d1,4785fc457233a1970ab505d9e002f3eb9c5c30b4ea86d66a3873a362ea3218d1,true
TaxiBJ P1,FODE,2024,true_coarse,4c835e73b1b98deb5b9fc1495a6459acc00905c13a10eebc0fa251c049916575,4c835e73b1b98deb5b9fc1495a6459acc00905c13a10eebc0fa251c049916575,true
TaxiBJ P1,FODE,2024,true_fine,2b25c37dfd6f25946944cc4d778b5eba42b81ca3fa661fb347667639c59e3bb2,2b25c37dfd6f25946944cc4d778b5eba42b81ca3fa661fb347667639c59e3bb2,true
TaxiBJ P1,FODE,2025,test_coarse,4220ed7090dca5e90f1d96ae41e06d14da5834b0a75dce51029cd87593f2cb36,4220ed7090dca5e90f1d96ae41e06d14da5834b0a75dce51029cd87593f2cb36,true
TaxiBJ P1,FODE,2025,true_coarse,4c835e73b1b98deb5b9fc1495a6459acc00905c13a10eebc0fa251c049916575,4c835e73b1b98deb5b9fc1495a6459acc00905c13a10eebc0fa251c049916575,true
