dataset,method,metric,runs,mean,std,mean_std
BikeNYC,FODE,MAE,3,2.585823,0.019912,2.5858 +/- 0.0199
BikeNYC,FODE,RMSE,3,5.468658,0.025331,5.4687 +/- 0.0253
BikeNYC,UrbanFM,MAE,3,2.588040,0.032634,2.5880 +/- 0.0326
BikeNYC,UrbanFM,RMSE,3,5.479858,0.058760,5.4799 +/- 0.0588
TaxiBJ P1,FODE,MAE,3,45.610631,0.108532,45.6106 +/- 0.1085
TaxiBJ P1,FODE,RMSE,3,93.864448,0.220152,93.8644 +/- 0.2202
TaxiBJ P1,UrbanFM,MAE,3,44.506165,0.561335,44.5062 +/- 0.5613
TaxiBJ P1,UrbanFM,RMSE,3,92.039866,0.602740,92.0399 +/- 0.6027
TaxiBJ P2,FODE,MAE,3,59.172502,0.256755,59.1725 +/- 0.2568
TaxiBJ P2,FODE,RMSE,3,116.870582,0.653999,116.8706 +/- 0.6540
TaxiBJ P2,UrbanFM,MAE,3,57.529071,0.180194,57.5291 +/- 0.1802
TaxiBJ P2,UrbanFM,RMSE,3,114.801542,0.622273,114.8015 +/- 0.6223
TaxiBJ P3,FODE,MAE,3,54.662523,0.319868,54.6625 +/- 0.3199
TaxiBJ P3,FODE,RMSE,3,107.765697,0.405706,107.7657 +/- 0.4057
TaxiBJ P3,UrbanFM,MAE,3,53.011723,0.359245,53.0117 +/- 0.3592
TaxiBJ P3,UrbanFM,RMSE,3,105.153729,0.980103,105.1537 +/- 0.9801
TaxiBJ P4,FODE,MAE,3,38.533840,0.164697,38.5338 +/- 0.1647
TaxiBJ P4,FODE,RMSE,3,80.733712,0.233286,80.7337 +/- 0.2333
TaxiBJ P4,UrbanFM,MAE,3,38.179134,0.251101,38.1791 +/- 0.2511
TaxiBJ P4,UrbanFM,RMSE,3,80.006722,0.542590,80.0067 +/- 0.5426
